handicap,odds,participant_name,name,description,game_date
0.0,114.0,Uta Jazz,UTA Jazz - UTA Jazz,Moneyline 1st Quarter,2023-10-27
-1.0,89.28571428571429,La Clippers,LA Clippers - LA Clippers,Spread 1st Quarter,2023-10-27
1.0,92.5925925925926,Uta Jazz,UTA Jazz - UTA Jazz,Spread 1st Quarter,2023-10-27
0.0,60.24096385542169,Orl Magic,ORL Magic - ORL Magic,Moneyline,2023-10-27
0.0,140.0,Por Trail Blazers,POR Trail Blazers - POR Trail Blazers,Moneyline,2023-10-27
-4.0,90.9090909090909,Orl Magic,ORL Magic - ORL Magic,Spread,2023-10-27
4.0,90.9090909090909,Por Trail Blazers,POR Trail Blazers - POR Trail Blazers,Spread,2023-10-27
0.0,67.56756756756756,Orl Magic,ORL Magic - ORL Magic,Moneyline 1st Half,2023-10-27
0.0,124.0,Por Trail Blazers,POR Trail Blazers - POR Trail Blazers,Moneyline 1st Half,2023-10-27
-2.0,92.5925925925926,Orl Magic,ORL Magic - ORL Magic,Spread 1st Half,2023-10-27
2.0,89.28571428571429,Por Trail Blazers,POR Trail Blazers - POR Trail Blazers,Spread 1st Half,2023-10-27
0.0,76.92307692307693,Orl Magic,ORL Magic - ORL Magic,Moneyline 1st Quarter,2023-10-27
0.0,110.0,Por Trail Blazers,POR Trail Blazers - POR Trail Blazers,Moneyline 1st Quarter,2023-10-27
-1.0,92.5925925925926,Orl Magic,ORL Magic - ORL Magic,Spread 1st Quarter,2023-10-27
1.0,89.28571428571429,Por Trail Blazers,POR Trail Blazers - POR Trail Blazers,Spread 1st Quarter,2023-10-27
0.0,136.0,Gs Warriors,GS Warriors - GS Warriors,Moneyline,2023-10-27
0.0,61.72839506172839,Sac Kings,SAC Kings - SAC Kings,Moneyline,2023-10-27
3.0,95.23809523809523,Gs Warriors,GS Warriors - GS Warriors,Spread,2023-10-27
-3.0,86.95652173913044,Sac Kings,SAC Kings - SAC Kings,Spread,2023-10-27
0.0,124.0,Gs Warriors,GS Warriors - GS Warriors,Moneyline 1st Half,2023-10-27
0.0,67.56756756756756,Sac Kings,SAC Kings - SAC Kings,Moneyline 1st Half,2023-10-27
